service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
14_44411,0,0,0,0,0,1,0,20150913,20151206
20_44411,0,0,0,0,0,0,1,20150913,20151206
32_44411,1,1,1,1,1,0,0,20150913,20151206
15_44412,1,1,1,1,1,0,0,20150913,20151206
15_44413,1,1,1,1,1,0,0,20150913,20151206
15_44415,1,1,1,1,1,0,0,20150913,20151206
15_44416,1,1,1,1,1,0,0,20150913,20151206
15_44417,1,1,1,1,1,0,0,20150913,20151206
15_44418,1,1,1,1,1,0,0,20150913,20151206
15_44419,1,1,1,1,1,0,0,20150913,20151206
15_44420,1,1,1,1,1,0,0,20150913,20151206
15_44421,1,1,1,1,1,0,0,20150913,20151206
15_44428,1,1,1,1,1,0,0,20150913,20151206
14_44429,0,0,0,0,0,1,0,20150920,20151206
32_44429,1,1,1,1,1,0,0,20150920,20151206
14_44430,0,0,0,0,0,1,0,20150920,20151206
32_44430,1,1,1,1,1,0,0,20150920,20151206
14_44431,0,0,0,0,0,1,0,20150920,20151206
21_44431,0,0,0,0,0,0,1,20150920,20151206
32_44431,1,1,1,1,1,0,0,20150920,20151206
75_44556,0,0,0,0,0,0,0,20150907,20151206
94_44556,0,0,0,0,0,0,0,20150907,20151206
75_44557,0,0,0,0,0,0,0,20150907,20151206
94_44557,0,0,0,0,0,0,0,20150907,20151206
75_44558,0,0,0,0,0,0,0,20150907,20151206
94_44558,0,0,0,0,0,0,0,20150907,20151206
75_44559,0,0,0,0,0,0,0,20150907,20151206
94_44559,0,0,0,0,0,0,0,20150907,20151206
75_44560,0,0,0,0,0,0,0,20150907,20151206
94_44560,0,0,0,0,0,0,0,20150907,20151206
75_44561,0,0,0,0,0,0,0,20150907,20151206
94_44561,0,0,0,0,0,0,0,20150907,20151206
75_44562,0,0,0,0,0,0,0,20150907,20151206
94_44562,0,0,0,0,0,0,0,20150907,20151206
75_44564,0,0,0,0,0,0,0,20150907,20151206
94_44564,0,0,0,0,0,0,0,20150907,20151206
94_44565,0,0,0,0,0,0,0,20150907,20151206
94_44566,0,0,0,0,0,0,0,20150907,20151206
